tale_id;num_episodes;num_sentences;num_clauses;num_words;avg_sentences/episode;avg_clauses/sentence;avg_words/clause;avg_episode_length;avg_sentence_length;avg_clause_length;avg_dep_distance_clause;avg_dep_distance_sentence;avg_dep_distance_episode;Average_Eventfulness;Average_I;CLI;Average_homotethy;D_h
1;8;39;241;1748;4.875;6.1794871795;7.2531120332;194.2222222222;44.8205128205;7.2531120332;3.4024896266;21.0256410256;91.1111111111;0.2307692308;4.8520710059;8.2601086957;6.102533070900001;-0.6170645190310656
2;7;56;353;2364;8.0;6.3035714286;6.6968838527;295.5;42.2142857143;6.6968838527;1.3456090652;8.4821428571;59.375;0.1428571429;1.2117346939;7.6354179567;7.000151760433333;-0.5675827733084052
3;9;58;455;3064;6.4444444444;7.8448275862;6.7340659341;306.4;52.8275862069;6.7340659341;1.167032967;9.1551724138;53.1;0.1724137931;1.5784780024;8.4958626073;7.007779321566666;-0.566338857440919
4;20;123;869;5816;6.15;7.0650406504;6.6927502877;276.9523809524;47.2845528455;6.6927502877;0.8388952819;5.9268292683;34.7142857143;0.1707317073;1.01189768;8.5814451827;6.6359303127;-0.5815405992391914
5;18;155;987;6230;8.6111111111;6.3677419355;6.3120567376;327.8947368421;40.1935483871;6.3120567376;0.6028368794;3.8387096774;31.3157894737;0.1225806452;0.4705515088;8.6559938367;7.096969928066667;-0.5666590450121324
6;1;92;727;5998;92.0;7.902173913;8.250343879;2999.0;65.1956521739;8.250343879;0.3314993122;2.6195652174;120.5;0.0217391304;0.0569470699;7.6590550071;36.050839264;-0.4316771760376062
7;6;82;521;3424;13.6666666667;6.3536585366;6.5719769674;489.1428571429;41.756097561;6.5719769674;0.9289827255;5.9024390244;69.1428571429;0.0853658537;0.503866746;7.8034084507;8.864100723566667;-0.5325920942219056
8;83;198;977;6582;2.3855421687;4.9343434343;6.7369498465;78.3571428571;33.2424242424;6.7369498465;1.5301944729;7.5505050505;17.7976190476;0.4242424242;3.2032445669;8.3886558761;4.6856118165;-0.8425919397134575
9;19;54;413;2984;2.8421052632;7.6481481481;7.2251815981;149.2;55.2592592593;7.2251815981;0.6997578692;5.3518518519;14.45;0.3703703704;1.9821673525;8.2633973866;5.905145003133334;-0.7157660974909846
10;4;55;377;2512;13.75;6.8545454545;6.6631299735;502.4;45.6727272727;6.6631299735;1.0769230769;7.3818181818;81.2;0.0909090909;0.6710743802;7.2939063992;9.089225142666665;-0.5230473520042396
11;90;145;871;5514;1.6111111111;6.0068965517;6.3306544202;60.5934065934;38.0275862069;6.3306544202;0.4339839265;2.6068965517;4.1538461538;0.6275862069;1.6360523187;7.3749527897;4.6495540276666665;-1.1705383342680438
12;1;54;425;3082;54.0;7.8703703704;7.2517647059;1541.0;57.0740740741;7.2517647059;0.4941176471;3.8888888889;105.0;0.037037037;0.1440329218;9.3178176383;23.0407116921;-0.4541406301800854
13;1;83;738;5396;83.0;8.8915662651;7.3116531165;2698.0;65.0120481928;7.3116531165;0.27100271;2.4096385542;100.0;0.0240963855;0.0580635796;7.1794730238;33.067739793866664;-0.43453579462177844
14;15;88;863;5460;5.8666666667;9.8068181818;6.3267670915;341.25;62.0454545455;6.3267670915;0.1610660487;1.5795454545;8.6875;0.1818181818;0.2871900826;8.7712412587;7.3334173133333325;-0.5658849584510124
15;1;48;404;3032;48.0;8.4166666667;7.504950495;1516.0;63.1666666667;7.504950495;0.650990099;5.4791666667;131.5;0.0416666667;0.2282986111;8.4228571429;21.307205720566667;-0.44819482202748606
16;46;142;968;6618;3.0869565217;6.8169014085;6.8367768595;140.8085106383;46.6056338028;6.8367768595;0.5123966942;3.4929577465;10.5531914894;0.3309859155;1.1561198175;7.7893530239;5.5802115965666665;-0.7061754554384851
17;8;66;462;3196;8.25;7.0;6.9177489177;355.1111111111;48.4242424242;6.9177489177;4.038961039;28.2727272727;207.3333333333;0.1363636364;3.8553719008;7.3828310502;7.389249639233333;-0.551072353532862
18;1;40;298;2070;40.0;7.45;6.9463087248;1035.0;51.75;6.9463087248;1.177852349;8.775;175.5;0.05;0.43875;9.4599545455;18.132102908266667;-0.47056485925338015
19;1;127;746;4818;127.0;5.874015748;6.4584450402;2409.0;37.937007874;6.4584450402;0.6434316354;3.7795275591;240.0;0.0157480315;0.059520119;7.9355655207;46.44415359606666;-0.47874382710493774
20;5;68;420;2740;13.6;6.1764705882;6.5238095238;456.6666666667;40.2941176471;6.5238095238;0.9666666667;5.9705882353;67.6666666667;0.0882352941;0.526816609;5.4280174672;8.766760037333333;-0.5366939258607893
21;5;13;74;544;2.6;5.6923076923;7.3513513514;90.6666666667;41.8461538462;7.3513513514;4.8783783784;27.7692307692;60.1666666667;0.4615384615;12.8165680473;6.8524696356;5.2145530145666665;-0.7773952819835063
22;61;132;703;4124;2.1639344262;5.3257575758;5.86628734;66.5161290323;31.2424242424;5.86628734;1.2987197724;6.9166666667;14.7258064516;0.4696969697;3.2487373737;7.3225456688;4.451993114;-0.9003367170391302
23;1;23;208;1362;23.0;9.0434782609;6.5480769231;681.0;59.2173913043;6.5480769231;1.0576923077;9.5652173913;110.0;0.0869565217;0.831758034;8.7853020134;12.863851728;-0.47797031263175516
24;10;49;316;2096;4.9;6.4489795918;6.6329113924;190.5454545455;42.7755102041;6.6329113924;0.4303797468;2.7755102041;12.3636363636;0.2244897959;0.6230737193;8.5515325248;5.9939636614;-0.620447011571386
25;5;67;456;3432;13.4;6.8059701493;7.5263157895;572.0;51.223880597;7.5263157895;0.6798245614;4.6268656716;51.6666666667;0.0895522388;0.4143461796;9.0648210668;9.244095312933334;-0.5134876982694035
