tale_id,series,best_H,min_ks_stat,hurst_exponent,rs_hurst,ks_stat
1,num_words,0.1,0.10869565217391304,0.9,,
1,num_clauses,0.1,0.15217391304347827,0.9,,
1,dep_distance,0.1,0.21739130434782608,0.9,,
1,Eventfulness,0.30000000000000004,0.32608695652173914,0.9,,
1,I,0.1,0.34782608695652173,0.9,,
1,num_words_vs_num_clauses,,,,,0.13043478260869565
1,num_words_vs_dep_distance,,,,,0.34782608695652173
1,num_words_vs_Eventfulness,,,,,0.34782608695652173
1,num_words_vs_I,,,,,0.45652173913043476
1,num_clauses_vs_dep_distance,,,,,0.32608695652173914
1,num_clauses_vs_Eventfulness,,,,,0.34782608695652173
1,num_clauses_vs_I,,,,,0.3695652173913043
1,dep_distance_vs_Eventfulness,,,,,0.2608695652173913
1,dep_distance_vs_I,,,,,0.45652173913043476
1,Eventfulness_vs_I,,,,,0.717391304347826
2,num_words,0.1,0.10204081632653061,0.9,,
2,num_clauses,0.30000000000000004,0.12244897959183673,0.9,,
2,dep_distance,0.2,0.1836734693877551,0.9,,
2,Eventfulness,0.5,0.16326530612244897,0.9,,
2,I,0.5,0.24489795918367346,0.9,,
2,num_words_vs_num_clauses,,,,,0.1836734693877551
2,num_words_vs_dep_distance,,,,,0.1836734693877551
2,num_words_vs_Eventfulness,,,,,0.20408163265306123
2,num_words_vs_I,,,,,0.2857142857142857
2,num_clauses_vs_dep_distance,,,,,0.14285714285714285
2,num_clauses_vs_Eventfulness,,,,,0.20408163265306123
2,num_clauses_vs_I,,,,,0.3469387755102041
2,dep_distance_vs_Eventfulness,,,,,0.24489795918367346
2,dep_distance_vs_I,,,,,0.2857142857142857
2,Eventfulness_vs_I,,,,,0.2857142857142857
3,num_words,0.4,0.09900990099009901,0.9,,
3,num_clauses,0.30000000000000004,0.19801980198019803,0.9,,
3,dep_distance,0.8,0.19801980198019803,0.9,,
3,Eventfulness,0.9,0.2079207920792079,0.9,,
3,I,0.4,0.32673267326732675,0.9,,
3,num_words_vs_num_clauses,,,,,0.25742574257425743
3,num_words_vs_dep_distance,,,,,0.15841584158415842
3,num_words_vs_Eventfulness,,,,,0.3564356435643564
3,num_words_vs_I,,,,,0.40594059405940597
3,num_clauses_vs_dep_distance,,,,,0.36633663366336633
3,num_clauses_vs_Eventfulness,,,,,0.36633663366336633
3,num_clauses_vs_I,,,,,0.36633663366336633
3,dep_distance_vs_Eventfulness,,,,,0.33663366336633666
3,dep_distance_vs_I,,,,,0.40594059405940597
3,Eventfulness_vs_I,,,,,0.42574257425742573
4,num_words,0.1,0.08411214953271028,0.9,,
4,num_clauses,0.4,0.102803738317757,0.9,,
4,dep_distance,0.2,0.22429906542056074,0.9,,
4,Eventfulness,0.30000000000000004,0.2897196261682243,0.9,,
4,I,0.7000000000000001,0.2803738317757009,0.9,,
4,num_words_vs_num_clauses,,,,,0.102803738317757
4,num_words_vs_dep_distance,,,,,0.2616822429906542
4,num_words_vs_Eventfulness,,,,,0.37383177570093457
4,num_words_vs_I,,,,,0.37383177570093457
4,num_clauses_vs_dep_distance,,,,,0.2336448598130841
4,num_clauses_vs_Eventfulness,,,,,0.35514018691588783
4,num_clauses_vs_I,,,,,0.35514018691588783
4,dep_distance_vs_Eventfulness,,,,,0.3925233644859813
4,dep_distance_vs_I,,,,,0.3364485981308411
4,Eventfulness_vs_I,,,,,0.17757009345794392
5,num_words,0.2,0.125,0.9,,
5,num_clauses,0.30000000000000004,0.125,0.9,,
5,dep_distance,0.4,0.2,0.9,,
5,Eventfulness,0.5,0.225,0.9,,
5,I,0.9,0.275,0.9,,
5,num_words_vs_num_clauses,,,,,0.175
5,num_words_vs_dep_distance,,,,,0.225
5,num_words_vs_Eventfulness,,,,,0.25
5,num_words_vs_I,,,,,0.325
5,num_clauses_vs_dep_distance,,,,,0.3
5,num_clauses_vs_Eventfulness,,,,,0.3
5,num_clauses_vs_I,,,,,0.425
5,dep_distance_vs_Eventfulness,,,,,0.3
5,dep_distance_vs_I,,,,,0.375
5,Eventfulness_vs_I,,,,,0.45
6,num_words,0.1,0.09333333333333334,0.9,,
6,num_clauses,0.30000000000000004,0.14,0.9,,
6,dep_distance,0.8,0.16666666666666666,0.9,,
6,Eventfulness,0.7000000000000001,0.28,0.9,,
6,I,0.6,0.23333333333333334,0.9,,
6,num_words_vs_num_clauses,,,,,0.12666666666666668
6,num_words_vs_dep_distance,,,,,0.20666666666666667
6,num_words_vs_Eventfulness,,,,,0.3
6,num_words_vs_I,,,,,0.3
6,num_clauses_vs_dep_distance,,,,,0.2733333333333333
6,num_clauses_vs_Eventfulness,,,,,0.3
6,num_clauses_vs_I,,,,,0.2733333333333333
6,dep_distance_vs_Eventfulness,,,,,0.28
6,dep_distance_vs_I,,,,,0.20666666666666667
6,Eventfulness_vs_I,,,,,0.2866666666666667
7,num_words,0.6,0.07936507936507936,0.9,,
7,num_clauses,0.8,0.1796875,0.9,,
7,dep_distance,0.5,0.203125,0.9,,
7,Eventfulness,0.30000000000000004,0.484375,0.9,,
7,I,0.30000000000000004,0.25,0.9,,
7,num_words_vs_num_clauses,,,,,0.09833829365079365
7,num_words_vs_dep_distance,,,,,0.21428571428571427
7,num_words_vs_Eventfulness,,,,,0.5396825396825397
7,num_words_vs_I,,,,,0.2698412698412698
7,num_clauses_vs_dep_distance,,,,,0.234375
7,num_clauses_vs_Eventfulness,,,,,0.546875
7,num_clauses_vs_I,,,,,0.234375
7,dep_distance_vs_Eventfulness,,,,,0.6484375
7,dep_distance_vs_I,,,,,0.1015625
7,Eventfulness_vs_I,,,,,0.6953125
8,num_words,0.30000000000000004,0.05925925925925926,0.9,,
8,num_clauses,0.6,0.125,0.9,,
8,dep_distance,0.4,0.1323529411764706,0.9,,
8,Eventfulness,0.4,0.5073529411764706,0.9,,
8,I,0.2,0.2647058823529412,0.9,,
8,num_words_vs_num_clauses,,,,,0.15098039215686274
8,num_words_vs_dep_distance,,,,,0.15043572984749456
8,num_words_vs_Eventfulness,,,,,0.4888888888888889
8,num_words_vs_I,,,,,0.3037037037037037
8,num_clauses_vs_dep_distance,,,,,0.15441176470588236
8,num_clauses_vs_Eventfulness,,,,,0.6176470588235294
8,num_clauses_vs_I,,,,,0.27941176470588236
8,dep_distance_vs_Eventfulness,,,,,0.5882352941176471
8,dep_distance_vs_I,,,,,0.36764705882352944
8,Eventfulness_vs_I,,,,,0.6617647058823529
9,num_words,0.30000000000000004,0.08,0.9,,
9,num_clauses,0.1,0.12,0.9,,
9,dep_distance,0.6,0.16,0.9,,
9,Eventfulness,0.4,0.3466666666666667,0.9,,
9,I,0.1,0.24,0.9,,
9,num_words_vs_num_clauses,,,,,0.12
9,num_words_vs_dep_distance,,,,,0.25333333333333335
9,num_words_vs_Eventfulness,,,,,0.44
9,num_words_vs_I,,,,,0.30666666666666664
9,num_clauses_vs_dep_distance,,,,,0.30666666666666664
9,num_clauses_vs_Eventfulness,,,,,0.44
9,num_clauses_vs_I,,,,,0.30666666666666664
9,dep_distance_vs_Eventfulness,,,,,0.5333333333333333
9,dep_distance_vs_I,,,,,0.32
9,Eventfulness_vs_I,,,,,0.5466666666666666
10,num_words,0.1,0.10476190476190476,0.9,,
10,num_clauses,0.2,0.17592592592592593,0.9,,
10,dep_distance,0.6,0.25,0.9,,
10,Eventfulness,0.8,0.49074074074074076,0.9,,
10,I,0.2,0.2777777777777778,0.9,,
10,num_words_vs_num_clauses,,,,,0.13333333333333333
10,num_words_vs_dep_distance,,,,,0.3142857142857143
10,num_words_vs_Eventfulness,,,,,0.49523809523809526
10,num_words_vs_I,,,,,0.3333333333333333
10,num_clauses_vs_dep_distance,,,,,0.2777777777777778
10,num_clauses_vs_Eventfulness,,,,,0.5555555555555556
10,num_clauses_vs_I,,,,,0.39814814814814814
10,dep_distance_vs_Eventfulness,,,,,0.6111111111111112
10,dep_distance_vs_I,,,,,0.2777777777777778
10,Eventfulness_vs_I,,,,,0.6666666666666666
11,num_words,0.30000000000000004,0.09259259259259259,0.9,,
11,num_clauses,0.5,0.12962962962962962,0.9,,
11,dep_distance,0.1,0.2037037037037037,0.9,,
11,Eventfulness,0.2,0.2777777777777778,0.9,,
11,I,0.5,0.25925925925925924,0.9,,
11,num_words_vs_num_clauses,,,,,0.16666666666666666
11,num_words_vs_dep_distance,,,,,0.2037037037037037
11,num_words_vs_Eventfulness,,,,,0.24074074074074073
11,num_words_vs_I,,,,,0.2962962962962963
11,num_clauses_vs_dep_distance,,,,,0.2962962962962963
11,num_clauses_vs_Eventfulness,,,,,0.35185185185185186
11,num_clauses_vs_I,,,,,0.35185185185185186
11,dep_distance_vs_Eventfulness,,,,,0.2222222222222222
11,dep_distance_vs_I,,,,,0.2777777777777778
11,Eventfulness_vs_I,,,,,0.25925925925925924
12,num_words,0.30000000000000004,0.08771929824561403,0.9,,
12,num_clauses,0.5,0.12280701754385964,0.9,,
12,dep_distance,0.2,0.17543859649122806,0.9,,
12,Eventfulness,0.2,0.3333333333333333,0.9,,
12,I,0.1,0.22807017543859648,0.9,,
12,num_words_vs_num_clauses,,,,,0.10526315789473684
12,num_words_vs_dep_distance,,,,,0.19298245614035087
12,num_words_vs_Eventfulness,,,,,0.2982456140350877
12,num_words_vs_I,,,,,0.22807017543859648
12,num_clauses_vs_dep_distance,,,,,0.21052631578947367
12,num_clauses_vs_Eventfulness,,,,,0.3684210526315789
12,num_clauses_vs_I,,,,,0.2631578947368421
12,dep_distance_vs_Eventfulness,,,,,0.3684210526315789
12,dep_distance_vs_I,,,,,0.19298245614035087
12,Eventfulness_vs_I,,,,,0.3508771929824561
13,num_words,0.30000000000000004,0.15384615384615385,0.9,,
13,num_clauses,0.1,0.15384615384615385,0.9,,
13,dep_distance,0.1,0.23076923076923078,0.9,,
13,Eventfulness,0.2,0.46153846153846156,0.9,,
13,I,0.8,0.3076923076923077,0.9,,
13,num_words_vs_num_clauses,,,,,0.23076923076923078
13,num_words_vs_dep_distance,,,,,0.15384615384615385
13,num_words_vs_Eventfulness,,,,,0.6153846153846154
13,num_words_vs_I,,,,,0.38461538461538464
13,num_clauses_vs_dep_distance,,,,,0.23076923076923078
13,num_clauses_vs_Eventfulness,,,,,0.5384615384615384
13,num_clauses_vs_I,,,,,0.46153846153846156
13,dep_distance_vs_Eventfulness,,,,,0.6153846153846154
13,dep_distance_vs_I,,,,,0.46153846153846156
13,Eventfulness_vs_I,,,,,0.6153846153846154
14,num_words,0.2,0.11538461538461539,0.9,,
14,num_clauses,0.4,0.15384615384615385,0.9,,
14,dep_distance,0.1,0.21153846153846154,0.9,,
14,Eventfulness,0.6,0.3269230769230769,0.9,,
14,I,0.30000000000000004,0.3076923076923077,0.9,,
14,num_words_vs_num_clauses,,,,,0.15384615384615385
14,num_words_vs_dep_distance,,,,,0.25
14,num_words_vs_Eventfulness,,,,,0.3076923076923077
14,num_words_vs_I,,,,,0.3269230769230769
14,num_clauses_vs_dep_distance,,,,,0.23076923076923078
14,num_clauses_vs_Eventfulness,,,,,0.36538461538461536
14,num_clauses_vs_I,,,,,0.36538461538461536
14,dep_distance_vs_Eventfulness,,,,,0.3269230769230769
14,dep_distance_vs_I,,,,,0.40384615384615385
14,Eventfulness_vs_I,,,,,0.40384615384615385
15,num_words,0.2,0.16312056737588654,0.9,,
15,num_clauses,0.30000000000000004,0.17482517482517482,0.9,,
15,dep_distance,0.8,0.2937062937062937,0.9,,
15,Eventfulness,0.1,0.4965034965034965,0.9,,
15,I,0.8,0.42657342657342656,0.9,,
15,num_words_vs_num_clauses,,,,,0.1276595744680851
15,num_words_vs_dep_distance,,,,,0.375886524822695
15,num_words_vs_Eventfulness,,,,,0.624113475177305
15,num_words_vs_I,,,,,0.5815602836879432
15,num_clauses_vs_dep_distance,,,,,0.35664335664335667
15,num_clauses_vs_Eventfulness,,,,,0.6363636363636364
15,num_clauses_vs_I,,,,,0.4965034965034965
15,dep_distance_vs_Eventfulness,,,,,0.7412587412587412
15,dep_distance_vs_I,,,,,0.7272727272727273
15,Eventfulness_vs_I,,,,,0.7202797202797203
16,num_words,0.1,0.12,0.9,,
16,num_clauses,0.1,0.16,0.9,,
16,dep_distance,0.7000000000000001,0.2,0.9,,
16,Eventfulness,0.5,0.2,0.9,,
16,I,0.30000000000000004,0.24,0.9,,
16,num_words_vs_num_clauses,,,,,0.16
16,num_words_vs_dep_distance,,,,,0.2
16,num_words_vs_Eventfulness,,,,,0.24
16,num_words_vs_I,,,,,0.24
16,num_clauses_vs_dep_distance,,,,,0.2
16,num_clauses_vs_Eventfulness,,,,,0.2
16,num_clauses_vs_I,,,,,0.2
16,dep_distance_vs_Eventfulness,,,,,0.28
16,dep_distance_vs_I,,,,,0.12
16,Eventfulness_vs_I,,,,,0.36
17,num_words,0.2,0.043478260869565216,0.9,,
17,num_clauses,0.5,0.10434782608695652,0.9,,
17,dep_distance,0.2,0.1391304347826087,0.9,,
17,Eventfulness,0.4,0.391304347826087,0.9,,
17,I,0.2,0.26956521739130435,0.9,,
17,num_words_vs_num_clauses,,,,,0.11304347826086956
17,num_words_vs_dep_distance,,,,,0.2
17,num_words_vs_Eventfulness,,,,,0.41739130434782606
17,num_words_vs_I,,,,,0.30434782608695654
17,num_clauses_vs_dep_distance,,,,,0.1565217391304348
17,num_clauses_vs_Eventfulness,,,,,0.33043478260869563
17,num_clauses_vs_I,,,,,0.30434782608695654
17,dep_distance_vs_Eventfulness,,,,,0.4260869565217391
17,dep_distance_vs_I,,,,,0.34782608695652173
17,Eventfulness_vs_I,,,,,0.2782608695652174
18,num_words,0.30000000000000004,0.09917355371900827,0.9,,
18,num_clauses,0.30000000000000004,0.13114754098360656,0.9,,
18,dep_distance,0.9,0.19672131147540983,0.9,,
18,Eventfulness,0.2,0.5,0.9,,
18,I,0.30000000000000004,0.19672131147540983,0.9,,
18,num_words_vs_num_clauses,,,,,0.13643137786207832
18,num_words_vs_dep_distance,,,,,0.17368920200514834
18,num_words_vs_Eventfulness,,,,,0.5041322314049587
18,num_words_vs_I,,,,,0.21487603305785125
18,num_clauses_vs_dep_distance,,,,,0.18032786885245902
18,num_clauses_vs_Eventfulness,,,,,0.4918032786885246
18,num_clauses_vs_I,,,,,0.2540983606557377
18,dep_distance_vs_Eventfulness,,,,,0.6639344262295082
18,dep_distance_vs_I,,,,,0.1557377049180328
18,Eventfulness_vs_I,,,,,0.6885245901639344
19,num_words,0.2,0.15789473684210525,0.9,,
19,num_clauses,0.9,0.17543859649122806,0.9,,
19,dep_distance,0.1,0.2807017543859649,0.9,,
19,Eventfulness,0.2,0.2631578947368421,0.9,,
19,I,0.7000000000000001,0.2807017543859649,0.9,,
19,num_words_vs_num_clauses,,,,,0.15789473684210525
19,num_words_vs_dep_distance,,,,,0.2982456140350877
19,num_words_vs_Eventfulness,,,,,0.2807017543859649
19,num_words_vs_I,,,,,0.38596491228070173
19,num_clauses_vs_dep_distance,,,,,0.3508771929824561
19,num_clauses_vs_Eventfulness,,,,,0.3333333333333333
19,num_clauses_vs_I,,,,,0.3508771929824561
19,dep_distance_vs_Eventfulness,,,,,0.47368421052631576
19,dep_distance_vs_I,,,,,0.38596491228070173
19,Eventfulness_vs_I,,,,,0.47368421052631576
20,num_words,0.5,0.125,0.9,,
20,num_clauses,0.1,0.1875,0.9,,
20,dep_distance,0.1,0.18181818181818182,0.9,,
20,Eventfulness,0.5,0.45454545454545453,0.9,,
20,I,0.6,0.30303030303030304,0.9,,
20,num_words_vs_num_clauses,,,,,0.15625
20,num_words_vs_dep_distance,,,,,0.2215909090909091
20,num_words_vs_Eventfulness,,,,,0.4384469696969697
20,num_words_vs_I,,,,,0.375
20,num_clauses_vs_dep_distance,,,,,0.2528409090909091
20,num_clauses_vs_Eventfulness,,,,,0.59375
20,num_clauses_vs_I,,,,,0.3153409090909091
20,dep_distance_vs_Eventfulness,,,,,0.5151515151515151
20,dep_distance_vs_I,,,,,0.36363636363636365
20,Eventfulness_vs_I,,,,,0.5454545454545454
21,num_words,0.5,0.08421052631578947,0.9,,
21,num_clauses,0.1,0.11578947368421053,0.9,,
21,dep_distance,0.8,0.14736842105263157,0.9,,
21,Eventfulness,0.9,0.2736842105263158,0.9,,
21,I,0.6,0.22105263157894736,0.9,,
21,num_words_vs_num_clauses,,,,,0.1368421052631579
21,num_words_vs_dep_distance,,,,,0.15789473684210525
21,num_words_vs_Eventfulness,,,,,0.25263157894736843
21,num_words_vs_I,,,,,0.28421052631578947
21,num_clauses_vs_dep_distance,,,,,0.2
21,num_clauses_vs_Eventfulness,,,,,0.28421052631578947
21,num_clauses_vs_I,,,,,0.28421052631578947
21,dep_distance_vs_Eventfulness,,,,,0.2736842105263158
21,dep_distance_vs_I,,,,,0.29473684210526313
21,Eventfulness_vs_I,,,,,0.3157894736842105
22,num_words,0.2,0.10666666666666667,0.9,,
22,num_clauses,0.2,0.12,0.9,,
22,dep_distance,0.8,0.21333333333333335,0.9,,
22,Eventfulness,0.2,0.30666666666666664,0.9,,
22,I,0.2,0.3333333333333333,0.9,,
22,num_words_vs_num_clauses,,,,,0.10666666666666667
22,num_words_vs_dep_distance,,,,,0.22666666666666666
22,num_words_vs_Eventfulness,,,,,0.29333333333333333
22,num_words_vs_I,,,,,0.3333333333333333
22,num_clauses_vs_dep_distance,,,,,0.21333333333333335
22,num_clauses_vs_Eventfulness,,,,,0.3466666666666667
22,num_clauses_vs_I,,,,,0.44
22,dep_distance_vs_Eventfulness,,,,,0.25333333333333335
22,dep_distance_vs_I,,,,,0.49333333333333335
22,Eventfulness_vs_I,,,,,0.4666666666666667
23,num_words,0.30000000000000004,0.05405405405405406,0.9,,
23,num_clauses,0.4,0.12080536912751678,0.9,,
23,dep_distance,0.8,0.1476510067114094,0.9,,
23,Eventfulness,0.1,0.47651006711409394,0.9,,
23,I,0.5,0.2953020134228188,0.9,,
23,num_words_vs_num_clauses,,,,,0.10484309813168874
23,num_words_vs_dep_distance,,,,,0.25
23,num_words_vs_Eventfulness,,,,,0.4864864864864865
23,num_words_vs_I,,,,,0.33783783783783783
23,num_clauses_vs_dep_distance,,,,,0.2684563758389262
23,num_clauses_vs_Eventfulness,,,,,0.5167785234899329
23,num_clauses_vs_I,,,,,0.40268456375838924
23,dep_distance_vs_Eventfulness,,,,,0.6040268456375839
23,dep_distance_vs_I,,,,,0.40268456375838924
23,Eventfulness_vs_I,,,,,0.7181208053691275
24,num_words,0.8,0.05660377358490566,0.9,,
24,num_clauses,0.30000000000000004,0.10377358490566038,0.9,,
24,dep_distance,0.1,0.1509433962264151,0.9,,
24,Eventfulness,0.5,0.2358490566037736,0.9,,
24,I,0.1,0.3490566037735849,0.9,,
24,num_words_vs_num_clauses,,,,,0.09433962264150944
24,num_words_vs_dep_distance,,,,,0.1792452830188679
24,num_words_vs_Eventfulness,,,,,0.27358490566037735
24,num_words_vs_I,,,,,0.3867924528301887
24,num_clauses_vs_dep_distance,,,,,0.24528301886792453
24,num_clauses_vs_Eventfulness,,,,,0.36792452830188677
24,num_clauses_vs_I,,,,,0.36792452830188677
24,dep_distance_vs_Eventfulness,,,,,0.32075471698113206
24,dep_distance_vs_I,,,,,0.4056603773584906
24,Eventfulness_vs_I,,,,,0.42452830188679247
25,num_words,0.7000000000000001,0.18181818181818182,0.9,,
25,num_clauses,0.1,0.18181818181818182,0.9,,
25,dep_distance,0.30000000000000004,0.2727272727272727,0.9,,
25,Eventfulness,0.4,0.2727272727272727,0.9,,
25,I,0.4,0.2727272727272727,0.9,,
25,num_words_vs_num_clauses,,,,,0.2727272727272727
25,num_words_vs_dep_distance,,,,,0.36363636363636365
25,num_words_vs_Eventfulness,,,,,0.45454545454545453
25,num_words_vs_I,,,,,0.2727272727272727
25,num_clauses_vs_dep_distance,,,,,0.2727272727272727
25,num_clauses_vs_Eventfulness,,,,,0.2727272727272727
25,num_clauses_vs_I,,,,,0.2727272727272727
25,dep_distance_vs_Eventfulness,,,,,0.45454545454545453
25,dep_distance_vs_I,,,,,0.18181818181818182
25,Eventfulness_vs_I,,,,,0.5454545454545454
